"Refactor - Java","Rename - Refactoring ","Shift+Alt+R","In Windows"
"Text Editing","Split Line","Ctrl+Alt+O","Editing Text"
"Text Editing","Point to Register","Ctrl+X /","Editing Text"
"Text Editing","Backward Paragraph","Alt+{","Editing Text"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Text Editing","Universal Argument","Ctrl+Alt+5","Editing Text"
"Refactor - Java","Show Refactor Quick Menu","Shift+Alt+T","In Windows"
"Text Editing","End Buffer Other Window","Alt+End","Editing Text"
"Run/Debug","Run JUnit Test","Shift+Alt+X T","In Windows"
"Text Editing","Forward Paragraph","Ctrl+Down","Editing Text"
"Text Editing","Describe Help Commands","Ctrl+H ?","Editing Text"
"Run/Debug","Debug Eclipse Application","Shift+Alt+D E","In Windows"
"View","Zoom In","Ctrl+=","In Windows"
"Run/Debug","Debug JUnit Test","Shift+Alt+D T","In Windows"
"Text Editing","Begin Line","Shift+Ctrl+A","Editing Text"
"Navigate","Open Declaration","F3","In Windows"
"Text Editing","Delete Indentation","Shift+Alt+6","Editing Text"
"Text Editing","Select Next Word","Shift+Ctrl+Right","Editing Text"
"Text Editing","Comment Next","Alt+N","Editing Java Source"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Run/Debug","Run Java Applet","Shift+Alt+X A","In Windows"
"Text Editing","Backward Paragraph","Shift+Ctrl+Up","Editing Text"
"Window","Previous Editor","Shift+Ctrl+F6","In Windows"
"Navigate","Open Declaration","Ctrl+C Ctrl+V Ctrl+Y","Editing Java Source"
"Text Editing","Universal Argument","Ctrl+Alt+1","Editing Text"
"Navigate","Quick Outline","Ctrl+]","Editing Java Source"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Views","Show View (Package Explorer)","Shift+Alt+Q P","In Windows"
"Text Editing","Insert Register","Ctrl+X R I","Editing Text"
"Text Editing","Insert Line Above Current Line","Shift+Ctrl+Enter","Editing Text"
"Text Editing","Transpose Characters","Ctrl+T","Editing Text"
"Run/Debug","Force Return","Shift+Alt+F","In Windows"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Task","Mark Task Read","Shift+Alt+R","In Tasks View"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
